"","sp","wp","wnp","snp","ds","dm","dl","ss","sm","sl","subclass","port","proto","class"
"1484",0,0.0666666666666667,0.0666666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0,0.533333333333333,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"4470",0,0,0,0.333333333333333,0,0.333333333333333,0.222222222222222,0,0,0.555555555555556,"From-Botnet-TCP-WEB-Established",80,"tcp","Botnet"
"2040",0,0,0.2,0,0,0.6,0,0.6,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"4981",0,0,0.0588235294117647,0.352941176470588,0.0588235294117647,0.176470588235294,0.294117647058824,0,0.176470588235294,0.352941176470588,"From-Normal-Stribrek",80,"tcp","Normal"
"5654",0,0,0.0666666666666667,0.333333333333333,0,0.133333333333333,0.4,0,0.4,0.133333333333333,"From-Normal-Grill",80,"tcp","Normal"
"6536",0,0,0,0.333333333333333,0,0,0.555555555555556,0,0.555555555555556,0,"From-Normal-Jist",80,"tcp","Normal"
"8590",0,0,0.2,0.2,0,0,0.533333333333333,0,0.2,0.333333333333333,"From-Normal-Grill",80,"tcp","Normal"
"7820",0,0.0344827586206897,0.0344827586206897,0.379310344827586,0,0,0.517241379310345,0,0.379310344827586,0.137931034482759,"From-Normal-Stribrek",80,"tcp","Normal"
"6159",0.0689655172413793,0.0689655172413793,0.103448275862069,0.206896551724138,0,0,0.517241379310345,0,0.0689655172413793,0.448275862068966,"From-Normal-Stribrek",80,"tcp","Normal"
"8191",0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0.428571428571429,0,0.428571428571429,0.142857142857143,"From-Normal-Jist",80,"tcp","Normal"
"2893",0,0.111111111111111,0.222222222222222,0,0,0.555555555555556,0,0,0,0.555555555555556,"From-Botnet-TCP-Established-HTTP-Binary-Download",80,"tcp","Botnet"
"7833",0,0,0.0909090909090909,0.272727272727273,0,0,0.545454545454545,0,0.454545454545455,0.0909090909090909,"From-Normal-Grill",80,"tcp","Normal"
"8934",0.181818181818182,0,0.0909090909090909,0.0909090909090909,0,0,0.545454545454545,0,0,0.545454545454545,"From-Normal-Jist",80,"tcp","Normal"
