"id"|"class"|"connection_id"|"State"|"clusterid"|"prob"
5748|"botnet"|"147.32.84.206-64.18.7.10-25-tcp"|"11*S+R*R+r+r*r*R,R*S,s+R*R,r,S+"|1|1
4995|"botnet"|"147.32.84.206-94.63.150.63-80-tcp"|"88.y,Y.Y,y,Y.Y,y,"|3|0.958
4264|"normal"|"147.32.84.170-74.125.232.201-80-tcp"|"99*Z.Z.Z.z.z.z.z.z.I.I.i.W+W.W,W.W.W+W.w.f.f.f.Z*Z.Z.Z.W.Z,i,Z.I.Z.Z00"|3|0.012
8761|"normal"|"147.32.84.164-195.113.232.82-80-tcp"|"99.Z.z.i.Z.W.W."|3|0.016
1808|"normal"|"147.32.84.164-91.189.92.166-80-tcp"|"88000000000000000000000000h00000000000000000000000"|2|0.304
4978|"botnet"|"147.32.84.204-94.127.76.180-80-tcp"|"99.Z*Z.Z*Z.Z*Z."|3|NA
23|"normal"|"147.32.84.170-209.85.148.104-80-tcp"|"44,u,U+u,u+u,u,U+U,u+U,u,u,U+U,U+U,U+u,u+u+D+D+d,U,d,U+u,u+u,D,u,u,u+u,u,u,D,d,u,u+U,d,u,u,u,u+u,U*U,u+u+U,u,u,u,u+U,U+d+u,u,d,u+U,U+U,U+U,d,U+U,u,u,u+u,u+w,U+u+u,u,U+u+U,u,u+u,D+u+U,U+U,U,u+u,U,U+u,u,U+u,U,u,u,u+u,U,U,U,d,u,u,u+u,u,u+D,u,u,u,U+U,u+d+u,u+u,u,D,D+D+D+u,d,u+u,u+u,u,U+u,u,d,u,u,u,u+D+d+U,u,u,u+u,u,u,U+u+u+u,u,u,U+u,u+u,U*U,u,u,u+u+U,u+U,d,U,u,u+u+u,D,u+u,u,z,u+u,u,u+u+U,u,u,d,U+u+u+U,u,u+W,U+u+u+u+u,u,u,U+D+u+Z,W.W.F.F.F.U+u+u,u+u+u,U+u,u,d,u,U+u+U,U+u,u,u+u+D+D+u,u,U+d+D+U,u,u,d,u+u,d,u+u,u,d,u,u,d,U+u+u+u+D+u,u,U,U+U,U+u,u,u,u+u+U,U+U*U,u,u,u,d,u,u+U,u,u,u,u,u+u,u,u+u+u+U,U+U,U+U,u,u+u,u,U,u,u,u+u,u+u,u,u+u+U,U+u,u,u,u+u+D+u+u,u,D,u,U+U,u+u,u,u+u,u,d,u+u,u+U,U+u,u+u,u,u,u,u,u,u,U+D+u,U,U+u,"|2|0.014
408|"botnet"|"147.32.84.165-94.245.120.86-25-tcp"|"22+s+S*S+s+B+s+s+S*S+s*S,S*s*s*s*B*b*s+s*B*"|1|NA
4293|"normal"|"147.32.84.170-81.0.235.4-80-tcp"|"97,W.Z.Z.Y,Y.y.Y.Y.Y.y.Z,y,Y.Y.H.y.y.Y,Y.Y.Y.Y.Y.y.Z,W.W.w.W.W.y.W.z.W.W+Z.F.w.W.W.w.W.W.W.Y,"|3|0.1
956|"normal"|"147.32.84.134-91.198.174.233-80-tcp"|"88.Y.Y.X.Y*Y.y.Y.Y.Z0Z.z.W."|3|0.088
8966|"normal"|"147.32.84.134-92.123.64.161-443-tcp"|"99.z.i.i.i."|3|0.152
3209|"normal"|"147.32.84.170-91.198.174.233-80-tcp"|"99.I.w.Z.w.W.w.Z*Z.I.I.w.F."|2|0.024
41|"normal"|"147.32.84.164-74.125.232.206-80-tcp"|"88.Y*Z.Z0Z.W0W.F.f.Z000"|3|0.074
6673|"botnet"|"147.32.84.209-82.216.111.1-25-tcp"|"11*S,s,s,s,r+s,S*R,S+S*"|1|0.998
2486|"botnet"|"147.32.84.165-65.54.234.78-443-tcp"|"88,Y*y*Y,Y+Y*V+y+Y,Y*Y+y+Y,y,Y*Y,Y*Y,Y*H*y*Y.y.Y,"|3|0.67
3197|"normal"|"147.32.84.134-74.125.232.200-80-tcp"|"99*z*z*Z,W*z*z*"|3|NA
2148|"botnet"|"147.32.84.165-91.220.0.52-80-tcp"|"85.V,H,E,B,V*Y,E,B,V*Y,E,"|2|0.786
6112|"botnet"|"147.32.84.208-209.59.195.20-80-tcp"|"99.z,Z.Z,Z.Z,z,Z*Z.Z,Y.Y."|3|0.546
7696|"botnet"|"147.32.84.193-65.55.92.168-25-tcp"|"22,S+r+S*s*s+s+s,S*s+s,b,S*"|1|0.998
6100|"botnet"|"147.32.84.193-216.163.188.58-25-tcp"|"11*R+r*r*A*r*"|1|0.988
3723|"botnet"|"147.32.84.165-64.98.36.4-25-tcp"|"22*S,s,S+s+r*R+S.R+s+s,S.S.B.A.S.s,S*S.S*s+S.A.S.s,b,S+r,S*s+s*B*S,R.S,R.S.R+S,S+S,R."|1|NA
6448|"botnet"|"147.32.84.208-74.117.116.68-80-tcp"|"88.B.S.H.Y.Y.Y,Y.Y.y,y."|3|0.946
2279|"normal"|"147.32.84.170-74.125.232.196-80-tcp"|"9900z0000z0"|3|0.592
1765|"normal"|"147.32.84.15-82.208.56.89-123-udp"|"990i0i0i0f0z*z0i0i0i0i0i0i0i0i0f0z*z0i0i0i0i0i0i0i0f0z*i*z0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0f0z*z0i0i0i0f0z*z0i0i0i0i0i0f0"|3|0.128
5407|"botnet"|"147.32.84.206-195.113.232.83-80-tcp"|"88*Z+I*y*w*Z,Y*y*Z*"|3|0.26
2709|"botnet"|"147.32.84.165-157.55.0.135-443-tcp"|"88,y,y,y,y,y,y,y,H,H,H,H,H,y,y,y,"|3|0.902
361|"botnet"|"147.32.84.165-202.12.27.33-53-udp"|"44.Z0Z+Z0Z.Z0Z+"|3|0.928
7687|"botnet"|"147.32.84.192-205.188.146.194-25-tcp"|"22,S+b+s+B+B+s,S*S,"|1|0.992
6015|"botnet"|"147.32.84.206-65.54.234.78-443-tcp"|"85*Y+y,v,Y*Y,Y*Y,Y*Y,Y*v*"|3|0.616
5488|"botnet"|"147.32.84.192-91.218.170.188-6667-tcp"|"22*S*s*s*s*"|1|NA
1212|"normal"|"147.32.84.170-209.133.56.102-80-tcp"|"88.H.y.H.h.Y.Y.y.y.y."|3|0.886
1488|"botnet"|"147.32.84.165-209.85.143.27-25-tcp"|"22,s,S*s+S*s+S*S,S+s*s*s*s*s*S,S*S,S*s*s*S,s,s,s,s,s,s,s,B,s,B,B,s,S.S,B,s,s,B,S.S,b,b,b,b,s,s,s,B,"|1|0.996
2875|"normal"|"147.32.84.164-74.125.232.197-80-tcp"|"99*z*W.Z*z*W.W.W.w.W."|2|0.004
