"sp"|"wp"|"wnp"|"snp"|"ds"|"dm"|"dl"|"ss"|"sm"|"sl"|"modelsize"|"class"|"subclass"|"port"|"proto"|"id"
0.0239803238368518|0.0291043246566919|0.121746259479402|0.324861651977864|0.441483910637426|0.0463209674113548|0.0122976019676163|0.320352531256405|0.179544988727198|0.000204960032793605|4879|"Normal-UDP-DNS"|"normal"|53|"udp"|1
0.480492813141684|0.0164271047227926|0|0|0.490759753593429|0.0102669404517454|0|0|0|0.501026694045175|487|"Normal-TCP-HTTP"|"normal"|80|"tcp"|2
0.384615384615385|0|0|0|0|0|0.538461538461538|0|0|0.538461538461538|13|"Normal-TCP-HTTP"|"normal"|443|"tcp"|3
0|0.0188679245283019|0.188679245283019|0.264150943396226|0|0.0377358490566038|0.471698113207547|0|0.132075471698113|0.377358490566038|53|"Normal-TCP-HTTP"|"normal"|80|"tcp"|4
0|0|0.3125|0.0625|0|0|0.5|0|0.0625|0.4375|16|"Normal-TCP-HTTP"|"normal"|80|"tcp"|5
0.307692307692308|0|0.0769230769230769|0|0|0|0.538461538461538|0|0.153846153846154|0.384615384615385|13|"Normal-UDP-NTP-server"|"normal"|123|"udp"|6
0.00999083809606911|0.0227738754853628|0.07490947166354|0.392260372584093|0.438026264124602|0.0285327865276384|0.033462763404738|0.160420575018542|0.339339470354697|0.000261768683739802|22921|"Normal-UDP-DNS"|"normal"|53|"udp"|7
0.0543337645536869|0.0478654592496766|0.294954721862872|0.100905562742561|0.477360931435964|0|0.0232858990944373|0|0.495472186287193|0.00517464424320828|773|"Normal-TCP-HTTP"|"normal"|80|"tcp"|8
0.497124075595727|0|0|0.00164338537387017|0|0.500410846343468|0|0|0|0.500410846343468|1217|"Normal-TCP-HTTP"|"normal"|80|"tcp"|9
0.384615384615385|0|0|0|0|0|0.538461538461538|0|0.0769230769230769|0.461538461538462|13|"Normal-TCP-Jabber"|"normal"|5222|"tcp"|10
0.0411985018726592|0.0249687890137328|0.295880149812734|0.136079900124844|0.459425717852684|0.0137328339575531|0.0274656679151061|0|0.478152309612984|0.0224719101123595|801|"Normal-TCP-HTTP"|"normal"|80|"tcp"|11
0.384615384615385|0|0|0|0|0|0.538461538461538|0|0|0.538461538461538|13|"Normal-TCP-Jabber"|"normal"|5222|"tcp"|12
0|0.0952380952380952|0.238095238095238|0.0952380952380952|0|0|0.523809523809524|0|0.0476190476190476|0.476190476190476|21|"Normal-TCP-HTTP"|"normal"|443|"tcp"|13
0.384615384615385|0|0|0|0|0|0.538461538461538|0|0.0769230769230769|0.461538461538462|13|"Normal-TCP-HTTP"|"normal"|443|"tcp"|14
0.384615384615385|0|0|0|0|0|0.538461538461538|0|0|0.538461538461538|13|"Normal-TCP-HTTP"|"normal"|443|"tcp"|15
0|0|0|0.307692307692308|0|0|0.461538461538462|0|0.307692307692308|0.153846153846154|13|"Normal-TCP-HTTP"|"normal"|80|"tcp"|16
0.0367553865652725|0.0456273764258555|0.29531051964512|0.120405576679341|0.4702154626109|0|0.0304182509505703|0|0.491761723700887|0.00887198986058302|789|"Normal-TCP-HTTP"|"normal"|80|"tcp"|17
0.2|0|0|0|0|0|0.6|0|0.2|0.4|5|"Normal-TCP-MSN"|"normal"|1863|"tcp"|18
0.277372262773723|0.0145985401459854|0.138686131386861|0.0583941605839416|0.394160583941606|0|0.109489051094891|0.394160583941606|0.0437956204379562|0.0656934306569343|137|"Normal-UDP-NTP-server"|"normal"|123|"udp"|19
0.254901960784314|0|0.176470588235294|0.0392156862745098|0|0.509803921568627|0|0|0|0.509803921568627|51|"Normal-TCP-HTTP"|"normal"|443|"tcp"|20
0.30188679245283|0|0.169811320754717|0|0|0.509433962264151|0|0|0|0.509433962264151|53|"Normal-TCP-HTTP"|"normal"|443|"tcp"|21
0.320754716981132|0|0.150943396226415|0|0|0.509433962264151|0|0|0|0.509433962264151|53|"Normal-TCP-HTTP"|"normal"|443|"tcp"|22
0.0307692307692308|0.0321678321678322|0.309090909090909|0.125874125874126|0.488111888111888|0|0.0125874125874126|0|0.497902097902098|0.0027972027972028|715|"Normal-TCP-HTTP"|"normal"|80|"tcp"|23
0.0021978021978022|0.032967032967033|0.0989010989010989|0.362637362637363|0.501098901098901|0|0|0.424175824175824|0.0769230769230769|0|455|"Normal-TCP-HTTP-CVUT-WebServer"|"normal"|53|"udp"|24
0.307692307692308|0|0.0769230769230769|0|0|0|0.538461538461538|0|0.0769230769230769|0.461538461538462|13|"Normal-UDP-NTP-server"|"normal"|123|"udp"|25
0.0304761904761905|0.0838095238095238|0.0590476190476191|0.323809523809524|0.00761904761904762|0.415238095238095|0.0780952380952381|0|0|0.500952380952381|525|"Normal-TCP-HTTP"|"normal"|443|"tcp"|26
