"id"|"class"|"connection_id"|"State"|"clusterid"|"prob"
5903|"botnet"|"147.32.84.206-98.138.84.55-587-tcp"|"88*y+V*H*H*"|3|0.762
6239|"botnet"|"147.32.84.208-72.167.238.201-25-tcp"|"11+R*R+r+R,R+R*s*r+r+r*S,S.S,a,r+"|1|0.996
7881|"botnet"|"147.32.84.208-65.55.255.7-443-tcp"|"88,y,H,y,H,h,y,H,y,H,y,y,Y*Y,H,h,H,H,H,"|3|0.764
3481|"normal"|"147.32.84.170-209.85.148.99-80-tcp"|"44,u+d+u,d,u,U+U,d,d,u,U+u+u,u+u,u+u+D+u,u,u,U+D+u,u+u+d+u+u,u,U+D+u,d,u,d,U+u,d,U*u+U,U+U,d,U+U,u+U,U+u+U,u,d,U+U,U+u,U,U+D+u,D,u+u+u,u,u,U+u+U,U+D,u,u,u,u+u+U,u,D,u,d,u,"|2|0.056
5215|"botnet"|"147.32.84.205-217.163.21.35-80-tcp"|"88*Y.y.y.Y.y.Y.y.y.y.y.H.Y*H*Y.Y+Y,"|3|0.97
6164|"botnet"|"147.32.84.207-98.139.212.139-587-tcp"|"98*Y+h+Y*Y+y*"|3|0.564
88|"normal"|"147.32.84.164-195.24.232.210-80-tcp"|"88+y+y+H+y+H*H+H+y+H+H+H+h+H+y+h+y*y+H+y+y+h+H+y*y+y*y+y*y+H+H+y+y+H+y+y+H+H+H+h+H+h+h+y+y,y.Y.y.y.y,Y+y+H+h+H+H+h+h+H+y+H+h+H+y*y+h+H+H+H+H+H+H+H+H+y+H+y+H+y+y+y+H+H+h+H+H+y+H+y+y+Y.Y*y+H+h+"|3|0.55
8610|"normal"|"147.32.84.164-209.85.149.132-443-tcp"|"99.z.Z*z*Z.Z.Z+r*r+R.r.Z*Z.z.Z+z+Z.Z.Z.Z."|3|0.646
3201|"normal"|"147.32.84.170-216.34.181.96-80-tcp"|"99.Z.W.I.Y,Y*Z.W,W.F.w.Y,Y,Z,W.z.Z+Z.Y.y,Y.Y,"|3|0.07
4916|"botnet"|"147.32.84.192-195.190.13.78-80-tcp"|"89+I+i+I+I+I+I+I+I+I+i+I+i+I+I+I+I+I+i+i+i+z,z+i+i+I+I+i+i+i+I+i+i+i+I+I+i+i+I+i+I+I+I+I+i+i+i+i+i+I+I+i+I+i+i+I+i+i+I+i+I+i+I+i+I+i+"|3|0.636
2915|"normal"|"147.32.84.134-77.78.99.22-80-tcp"|"55.V.X.G.x.x.x."|3|0.32
7972|"botnet"|"147.32.84.192-213.165.64.75-25-tcp"|"22+s*s*s*S,S*"|1|1
8658|"normal"|"147.32.84.164-209.85.148.99-80-tcp"|"96.W.W.z.w.W,W.W.w."|2|NA
2399|"botnet"|"147.32.84.165-66.94.238.147-25-tcp"|"22+B+S*S+s+S*S,s,S+S,s,s+S*S,s+s,s,s,S*S+s,S*S+s,S*S+s,S*s+B+S*S+s,S*S,s+s*S,B,S*S+s+s*S,B,S*s+s,S+s+S,S*S,s,S*S,s,S*S,B,S*S,s+s*S,s,"|1|1
285|"botnet"|"147.32.84.165-74.125.93.27-25-tcp"|"22*s*S+S*s*S*s*s*B*S,s,s,s+S*S,S,S+S*s*"|1|1
336|"botnet"|"147.32.84.165-67.195.168.230-25-tcp"|"22.s,s,s,s.S,s.s,S.s.S,s,S.S.S.S,s,s.T,s.s,s,S.S,S.S,s,S.S.s,S.S,s,s,s,s,b,S.S,s,B,S.S,S.s.S,S.S,S.s.S,S.s.s,B,s,S.T,B,S.s.S,s,S.S,S.S,s,s,s.S,s,S.S.B.T,S0S+S*B*S+s+S*S+s,S+s+S*S+s+"|1|0.992
1789|"normal"|"147.32.84.164-46.181.68.235-54728-icmp"|"110000R0000000000000000000000000000000000000000000r000000000000"|2|0.048
4058|"normal"|"147.32.84.134-74.125.232.205-80-tcp"|"66.w.W.Z.z,w,W.w.F.W*W.Z.Z*z*W.f.F.Z,W.Y0Y.x.z.Z0Z+Z*"|2|0.01
5119|"botnet"|"147.32.84.204-74.125.39.27-25-tcp"|"22+r+B+R,s,S,a,A,r,r,R.R,r,r.S+R,S.R,A,s,s,r,S.R,A,r,r.R+R,S.R,R+R,r,s,s,r,s,s,r,S.r.A.r,r.S,r+R,r,s,r,s,r,R,r,r,r.R+R.A.r,R.R,r,r,s,S,r,r+s,R.R,S,s,R.R,R.R,R.R+r,r.r,r,r,r.r,r.r.s,s,B,R.S,s,s,S+s,r+S,t,r,t,S.S,A,B,s.R,s,s,r,r+s,S.R,t,R+r,R,r,s,a,A,R+S.R,S+A+R,r,S.R,r,r,s,A,a,B,r+S.B,r,R.r,r,r,r,s,r,s+A+r,A+r,B,r,r+s,r+t+S,r,r+A+r,s,s+s+B,r+s+R,s,S+r+B+S,s,s+A+r,r,T.S,B,r+R,A,s,r,r+R,S+r+R,r,s,A,B,R.R+R,S+A,A,R,R.S.r.s.r.s,R.r.A.s.r.r,A,r.s.r.R,a,A,r,"|1|NA
1994|"normal"|"147.32.84.170-81.95.101.9-80-tcp"|"99.I.Z.Z.Z.Z.Z.I.I.Z.z.Z,Z.Z.i.z.z.Z.z.W+W.w.W.W.w.W.W.w.w.f.f.Z,Z.Z.z.z.z.Z.I.Z.Z.Z.z.Z,W.w.W.W.W.W.W.Z,Z.Z.i.W+W.w.w.W.W.W.W.i.W.W.w.W.W.W.w.W.w."|2|NA
7942|"botnet"|"147.32.84.208-74.125.47.27-25-tcp"|"22+s+b+s*s+S*S+s+s+s*S,S*S,S+"|1|0.998
1467|"botnet"|"147.32.84.165-65.55.92.168-25-tcp"|"22*S+s+s*S,S+T,S*s*S+S*S,S*s*s+s+s*s+S,S*s+s+s+s+s*S,S+s*s+s*b*"|1|0.994
3819|"botnet"|"147.32.84.165-216.33.127.20-25-tcp"|"22.r.S+S,R.S.s,b,S*S,R.S*s+S*s*A*S,R.S.S*"|1|0.978
7834|"botnet"|"147.32.84.207-65.54.186.107-443-tcp"|"88*y*Y+Y,Y*Y,"|3|0.854
4980|"botnet"|"147.32.84.204-74.125.232.218-80-tcp"|"99+H*H*Y,h,Z+Y*X,Z*z*i*y*z*y*z+z*y*"|3|NA
5431|"botnet"|"147.32.84.191-50.22.198.84-80-tcp"|"28,s,y,Y.Y+Y.Y+Y."|3|NA
3191|"normal"|"147.32.84.134-74.125.232.221-443-tcp"|"99*Z.z.Z,Z0Z.Z,"|3|0.092
3559|"botnet"|"147.32.84.165-112.90.86.183-NA-udp"|"98+H*z+Z*y*Z,H+"|3|0.932
2280|"botnet"|"147.32.84.165-91.220.0.52-80-tcp"|"88,v,e,v+v+v+v*z*y*y*y*v*H*V,v,e,E,E,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,"|2|0.52
2812|"normal"|"147.32.84.164-74.125.232.199-80-tcp"|"88*W.w.F.F.F."|2|0.244
7679|"botnet"|"147.32.84.208-98.139.54.60-25-tcp"|"22,s,s+B+S,S+s+s+s*S+s+R,s+s+s+s,s+s+s+S*R,s,s+"|1|0.998
6490|"botnet"|"147.32.84.205-204.13.200.57-443-tcp"|"88,y,y.y,y.y,y.H.y."|3|NA
5566|"botnet"|"147.32.84.193-65.55.33.167-443-tcp"|"88,y.y,y,y,y,h,y.y.y.y,H,y.h.h.Y*Y,H,y,H,y,H.y,Y+Y,y,y,y,y,H,y,y,H,y,"|3|0.852
2079|"normal"|"147.32.84.134-109.123.211.210-80-tcp"|"99.I.Z,Z.Z."|3|NA
3505|"botnet"|"147.32.84.165-123.125.115.150-80-tcp"|"55.y.V,V.h.V,Y.V+Y.V,Y."|2|0.482
2733|"botnet"|"147.32.84.165-174.36.246.56-80-tcp"|"880Y.h.H.H.h.Y*Y.H.H.h.h.Y*Y.H.H.H.H.Y0Y.h.h.H.H.Y*Y.H.h.H.h.Y00Y.y.h.y.h.Y000Y.H.h.h.h.Y*Y.H."|3|0.504
128|"normal"|"147.32.84.170-74.125.232.201-80-tcp"|"99*z0Z.Z*z*Z.Z*z+Z*z*z*I*Z.Z*z*z*z*I*z*I+Z.W."|3|0.084
5403|"botnet"|"147.32.84.192-216.69.186.201-25-tcp"|"22.R,r,r,r,R*r*S,r+R*S,b,S+s,s,S*S,R+B+s,r+s+r+r,S*S,R*R.R+r*r*R+s+"|1|0.998
4739|"botnet"|"147.32.84.191-195.190.13.78-80-tcp"|"89+i+i+i+I+i+I+I+I+i+I+I+i+I+i+i+i+i+i+i+i+i+I+i+i+i+i+i+i+i+i+i+i+i+I+i+I+i+I+I+i+i+I+I+i+i+i+I+I+i+I+z,z+I+I+i+I+I+I+I+i+H+z+z+h+"|3|NA
6257|"normal"|"147.32.84.134-80.239.149.8-443-tcp"|"99.z.Z.Z.Z.Z.Z.z.z.Z,Z.Z0Z.z.i.z.I.Z.Z.Z,Z.I.i."|3|0.054
5037|"botnet"|"147.32.84.206-174.123.157.154-80-tcp"|"88*h*h*h*h*"|3|NA
4666|"botnet"|"147.32.84.191-217.163.21.39-80-tcp"|"88.H.y.y.y.y.y.y.y.y.Y*H*Y.H.y.y.y.y.y.y.y.y.Y*H*Y.Y*Y,Y+Y."|3|0.956
249|"botnet"|"147.32.84.165-65.54.188.126-25-tcp"|"22*s*S,S+S*S.S*s*s*S*s+S*s*s+B+s*s*s+S*s*B*s*s+S*S,S+"|1|NA
8764|"normal"|"147.32.84.164-209.85.148.101-80-tcp"|"96.f.W.Z.w.W+W.W.w.w."|2|0.006
3758|"normal"|"147.32.84.134-92.123.64.192-443-tcp"|"99.z.Z.Z.z."|3|0.026
5387|"botnet"|"147.32.84.204-94.245.121.179-80-tcp"|"88,y,Y+Y,y,h,Y*Y+h+y,H,y,"|3|0.844
3284|"normal"|"147.32.84.134-77.75.76.52-80-tcp"|"88.y.h.H.H.Y.Y.y.Y."|3|NA
2426|"botnet"|"147.32.84.165-212.82.111.207-25-tcp"|"22*b*s*s*s*s*S*S*B*s*s*"|1|NA
5523|"botnet"|"147.32.84.207-74.208.122.35-25-tcp"|"22*s+s+S*s+s*B*S+b+S*B*B*s*s*s*s*s+s+"|1|1
8308|"normal"|"147.32.84.134-138.253.184.251-80-tcp"|"87.Y.G.h.h.Y.H.Y.X.y.x.X.x.x.X.h."|3|NA
3757|"normal"|"147.32.84.134-80.239.149.11-443-tcp"|"99.I.I.z.z.Z.Z.Z.z.z.z.Z+Z.Z.z.Z.Z."|3|0.08
2741|"botnet"|"147.32.84.165-98.136.185.95-587-tcp"|"88*y+I+h+Y*Y+H+"|3|NA
3617|"normal"|"147.32.84.134-209.85.148.103-80-tcp"|"66.W.f.W.W.Z.W,W.W.f.F.F."|2|0.026
4989|"botnet"|"147.32.84.191-65.55.37.72-25-tcp"|"120S,s,S,s+s,s+B,S,S+B+s*S,S+s,b,s+B+s,s,s,s,s,S+s+B+S,S+"|1|1
6420|"botnet"|"147.32.84.193-216.33.127.20-25-tcp"|"12*S+S*B*s*s+r*"|1|1
1476|"botnet"|"147.32.84.165-207.115.21.24-25-tcp"|"22+S*S,S+S0S+S,s,B,s+S,B,s,s,S+s*s+S,s,s,s,B,S*B*S,s,S.S,s,S.S+s+s,b,s,s,s+B+s+"|1|1
8376|"normal"|"147.32.84.134-216.34.181.40-80-tcp"|"55.V.V.e.e.V.V."|2|0.79
7642|"botnet"|"147.32.84.192-209.85.225.27-25-tcp"|"22+S,S+s*s+s*S,s+s*s+B+s*B*s+s*s+"|1|NA
369|"botnet"|"147.32.84.165-216.239.38.10-53-udp"|"54.Z0z*w*z0Z+"|2|0.838
8942|"normal"|"147.32.84.134-77.75.72.7-80-tcp"|"88.Y.Y.Y.Y.Z,Z.Z.I.Z.Z.Z*W.W.W.w.W.Z,"|3|0.124
4253|"normal"|"147.32.84.134-75.127.70.4-80-tcp"|"86.W.Y.Y.Y.Y.Y.H.Y,y,Y.y.y,Y.y.Y.y.Y,H,"|3|0.148
147|"normal"|"147.32.84.170-88.86.101.2-80-tcp"|"77.X*Y.Y,h,Y0Y.W.W.W.W.X,x.x,x.X,X.x.x.x,x,x.x,g,x,x,x,x.x.G,x.x.x,x.x.x,x.x,x,g,x.x.X,x,x,x.X00"|3|0.36
594|"botnet"|"147.32.84.165-68.6.19.3-25-tcp"|"22+S*s*s*S*S*s*S+s*S+s,s,S*"|1|1
8721|"normal"|"147.32.84.170-74.125.232.223-80-tcp"|"99.Z.Z.Z.I."|3|0.016
5550|"botnet"|"147.32.84.192-64.59.134.8-25-tcp"|"22*S,S*S+S*S,"|1|0.998
2316|"botnet"|"147.32.84.165-205.188.103.1-25-tcp"|"22+s+s+S,S+s+b+S,S+S,s,s+B+s+s,B,s+B+s+s+s,s,S+s+s+S.S,s+s+B+S,B,s,S+B+B+s,B,s,S.S+B+s+B+s+s,s+s,s,S+S,s+b+s,B,S+B+s+S*S+s+s,s+s,s+b+s+B+s,B,S*S,s+s+s+B+s+B+s+s+s,s+S.S+B+s+S,s+s,S,S+s,s,s,s+s+S,S*s*S,s,s,s+B+s+s+s+"|1|0.998
100|"normal"|"147.32.84.164-77.78.99.21-80-tcp"|"750V.y.Y.V.X,x+X,X.X+X00"|3|0.034
